Date,Last_Price
1972/7/31,19.1391
1972/8/1,19.5809
1972/8/2,19.5331
1972/8/3,19.8316
1972/8/4,19.8674
1972/8/7,19.951
1972/8/8,19.9749
1972/8/9,20.2256
1972/8/10,20.2256
1972/8/11,20.3211
1972/8/14,20.2853
1972/8/15,20.0704
1972/8/16,19.8674
1972/8/17,19.7361
1972/8/18,19.6525
1972/8/21,19.6047
1972/8/22,19.7122
1972/8/23,19.7241
1972/8/24,19.4495
1972/8/25,19.3898
1972/8/28,19.3063
1972/8/29,19.5212
1972/8/30,19.4853
1972/8/31,19.5092
1972/9/1,19.4018
1972/9/5,19.3301
1972/9/6,19.163
1972/9/7,19.0794
1972/9/8,19.0436
1972/9/11,18.9361
1972/9/12,18.8645
1972/9/13,19.0078
1972/9/14,19.0794
1972/9/15,18.9958
1972/9/18,18.9242
1972/9/19,18.96
1972/9/20,19.1272
1972/9/21,19.0794
1972/9/22,19.0197
1972/9/25,19.0197
1972/9/26,19.0137
1972/9/27,19.4376
