Date,Last Price
01/04/2021,3700.65
12/31/2020,3756.07
12/30/2020,3732.04
12/29/2020,3727.04
12/28/2020,3735.36
12/24/2020,3703.06
12/23/2020,3690.01
12/22/2020,3687.26
12/21/2020,3694.92
12/18/2020,3709.41
12/17/2020,3722.48
12/16/2020,3701.17
12/15/2020,3694.62
12/14/2020,3647.49
12/11/2020,3663.46
12/10/2020,3668.1
12/09/2020,3672.82
12/08/2020,3702.25
12/07/2020,3691.96
12/04/2020,3699.12
12/03/2020,3666.72
12/02/2020,3669.01
12/01/2020,3662.45
11/30/2020,3621.63
11/27/2020,3638.35
11/25/2020,3629.65
11/24/2020,3635.41
11/23/2020,3577.59
11/20/2020,3557.54
11/19/2020,3581.87
11/18/2020,3567.79
11/17/2020,3609.53
11/16/2020,3626.91
11/13/2020,3585.15
11/12/2020,3537.01
11/11/2020,3572.66
11/10/2020,3545.53
11/09/2020,3550.5
11/06/2020,3509.44
11/05/2020,3510.45
11/04/2020,3443.44
11/03/2020,3369.16
11/02/2020,3310.24
10/30/2020,3269.96
10/29/2020,3310.11
10/28/2020,3271.03
10/27/2020,3390.68
10/26/2020,3400.97
10/23/2020,3465.39
10/22/2020,3453.49
